id,stateAbbr,stateName,collectionsPerCapita,rank
0,US,United States,2557.37611224038,
1,AL,Alabama,1880.23369076490,43
2,AK,Alaska,9687.83674120067,1
4,AZ,Arizona,1992.73380504847,39
5,AR,Arkansas,2814.16570406880,17
6,CA,California,3039.65935429058,12
8,CO,Colorado,1989.66292710593,40
9,CT,Connecticut,4291.73210661073,5
10,DE,Delaware,3667.43241532980,8
12,FL,Florida,1718.60198339420,47
13,GA,Georgia,1680.17056207796,49
15,HI,Hawaii,3982.14147778585,6
16,ID,Idaho,2122.55619801024,37
17,IL,Illinois,2817.77751216466,16
18,IN,Indiana,2406.14119213981,28
19,IA,Iowa,2551.98008954621,23
20,KS,Kansas,2577.47254264942,21
21,KY,Kentucky,2402.08504887662,29
22,LA,Louisiana,1960.20207354332,41
23,ME,Maine,2842.36658569549,15
24,MD,Maryland,2906.56735017125,13
25,MA,Massachusetts,3441.54395933283,10
26,MI,Michigan,2421.00669119042,27
27,MN,Minnesota,3833.61932451388,7
28,MS,Mississippi,2332.41038021207,32
29,MO,Missouri,1795.70727951158,46
30,MT,Montana,2455.87595016597,25
31,NE,Nebraska,2343.45018158295,30
32,NV,Nevada,2473.13841917780,24
33,NH,New Hampshire,1673.81472603064,50
34,NJ,New Jersey,3102.50431046586,11
35,NM,New Mexico,2446.14923543758,26
36,NY,New York,3662.26301336893,9
37,NC,North Carolina,2341.19991490053,31
38,ND,North Dakota,8119.28042254661,2
39,OH,Ohio,2245.94008845135,34
40,OK,Oklahoma,2326.44263054675,33
41,OR,Oregon,2239.98304749148,35
42,PA,Pennsylvania,2583.54896939267,20
44,RI,Rhode Island,2691.65772621562,19
45,SC,South Carolina,1710.42274768383,48
46,SD,South Dakota,1836.48239804894,45
47,TN,Tennessee,1864.08167995874,44
48,TX,Texas,1880.27184084589,42
49,UT,Utah,2049.49843323220,38
50,VT,Vermont,4402.62397583273,4
51,VA,Virginia,2226.80252133623,36
53,WA,Washington,2569.14819297771,22
54,WV,West Virginia,2849.22679196760,14
55,WI,Wisconsin,2797.30638764958,18
56,WY,Wyoming,4460.67908876625,3
