id,stateAbbr,stateName,federalAidPercentage,rank
0,US,United States,0.327864757110517,
1,AL,Alabama,0.370177138266164,12
2,AK,Alaska,0.200107019666347,50
4,AZ,Arizona,0.393531550114497,7
5,AR,Arkansas,0.345167569454272,24
6,CA,California,0.288181995739046,39
8,CO,Colorado,0.292441420363132,37
9,CT,Connecticut,0.236792153955205,47
10,DE,Delaware,0.253651570721427,45
12,FL,Florida,0.326493525907377,30
13,GA,Georgia,0.388589480616762,8
15,HI,Hawaii,0.236042550699275,48
16,ID,Idaho,0.351564255152388,19
17,IL,Illinois,0.262343079768604,44
18,IN,Indiana,0.331960305645908,29
19,IA,Iowa,0.348470827571501,23
20,KS,Kansas,0.272055373181069,43
21,KY,Kentucky,0.358324227146542,17
22,LA,Louisiana,0.442576163281139,2
23,ME,Maine,0.366309818918682,13
24,MD,Maryland,0.312870818374950,33
25,MA,Massachusetts,0.295590769047357,35
26,MI,Michigan,0.341231755531311,27
27,MN,Minnesota,0.284694056360133,40
28,MS,Mississippi,0.458439962631951,1
29,MO,Missouri,0.408291698180039,5
30,MT,Montana,0.385374384775009,9
31,NE,Nebraska,0.349206581734965,21
32,NV,Nevada,0.274831739005457,42
33,NH,New Hampshire,0.320603896989251,31
34,NJ,New Jersey,0.275323915161784,41
35,NM,New Mexico,0.379010588518648,10
36,NY,New York,0.377429871799439,11
37,NC,North Carolina,0.339133479398800,28
38,ND,North Dakota,0.210406322793471,49
39,OH,Ohio,0.358703043240631,16
40,OK,Oklahoma,0.362061035316062,14
41,OR,Oregon,0.361599594822278,15
42,PA,Pennsylvania,0.309107485890801,34
44,RI,Rhode Island,0.344762339839060,26
45,SC,South Carolina,0.344916588829547,25
46,SD,South Dakota,0.415310994474751,3
47,TN,Tennessee,0.412736193637881,4
48,TX,Texas,0.351306413769581,20
49,UT,Utah,0.316525116423861,32
50,VT,Vermont,0.348623792876485,22
51,VA,Virginia,0.248128625793073,46
53,WA,Washington,0.293801217254751,36
54,WV,West Virginia,0.354561028331899,18
55,WI,Wisconsin,0.289315330457921,38
56,WY,Wyoming,0.397275975447795,6
