id,stateAbbr,stateName,debtPerCapita,rank
0,US,United States,3611,
1,AL,Alabama,1876,43
2,AK,Alaska,8487,4
4,AZ,Arizona,2083,40
5,AR,Arkansas,1336,46
6,CA,California,3987,18
8,CO,Colorado,3119,28
9,CT,Connecticut,9003,3
10,DE,Delaware,6245,8
12,FL,Florida,1950,41
13,GA,Georgia,1335,47
15,HI,Hawaii,5954,9
16,ID,Idaho,2274,38
17,IL,Illinois,4944,11
18,IN,Indiana,3443,24
19,IA,Iowa,2156,39
20,KS,Kansas,2362,37
21,KY,Kentucky,3415,25
22,LA,Louisiana,4029,17
23,ME,Maine,4046,15
24,MD,Maryland,4413,12
25,MA,Massachusetts,11420,1
26,MI,Michigan,3072,30
27,MN,Minnesota,2513,33
28,MS,Mississippi,2380,36
29,MO,Missouri,3200,27
30,MT,Montana,3522,21
31,NE,Nebraska,992,49
32,NV,Nevada,1302,48
33,NH,New Hampshire,6626,7
34,NJ,New Jersey,7234,5
35,NM,New Mexico,3470,23
36,NY,New York,6935,6
37,NC,North Carolina,1945,42
38,ND,North Dakota,2575,32
39,OH,Ohio,2866,31
40,OK,Oklahoma,2482,34
41,OR,Oregon,3473,22
42,PA,Pennsylvania,3682,20
44,RI,Rhode Island,9105,2
45,SC,South Carolina,3100,29
46,SD,South Dakota,4080,14
47,TN,Tennessee,956,50
48,TX,Texas,1509,45
49,UT,Utah,2450,35
50,VT,Vermont,5317,10
51,VA,Virginia,3408,26
53,WA,Washington,4395,13
54,WV,West Virginia,3964,19
55,WI,Wisconsin,4044,16
56,WY,Wyoming,1761,44
