id,stateAbbr,stateName,collectionsPerCapita
0,US,United States,4439
1,AL,Alabama,2956
2,AK,Alaska,11926
4,AZ,Arizona,3409
5,AR,Arkansas,3530
6,CA,California,4854
8,CO,Colorado,4111
9,CT,Connecticut,6953
10,DE,Delaware,4598
11,DC,District of Columbia,9471
12,FL,Florida,3365
13,GA,Georgia,3276
15,HI,Hawaii,5357
16,ID,Idaho,3054
17,IL,Illinois,5168
18,IN,Indiana,3756
19,IA,Iowa,4419
20,KS,Kansas,4347
21,KY,Kentucky,3437
22,LA,Louisiana,3695
23,ME,Maine,4621
24,MD,Maryland,5152
25,MA,Massachusetts,5591
26,MI,Michigan,3668
27,MN,Minnesota,5241
28,MS,Mississippi,3257
29,MO,Missouri,3392
30,MT,Montana,3616
31,NE,Nebraska,4395
32,NV,Nevada,3881
33,NH,New Hampshire,3994
34,NJ,New Jersey,6083
35,NM,New Mexico,3630
36,NY,New York,7765
37,NC,North Carolina,3552
38,ND,North Dakota,9561
39,OH,Ohio,4054
40,OK,Oklahoma,3494
41,OR,Oregon,3805
42,PA,Pennsylvania,4472
44,RI,Rhode Island,4978
45,SC,South Carolina,3036
46,SD,South Dakota,3493
47,TN,Tennessee,3109
48,TX,Texas,3781
49,UT,Utah,3371
50,VT,Vermont,5135
51,VA,Virginia,4073
53,WA,Washington,4292
54,WV,West Virginia,3805
55,WI,Wisconsin,4635
56,WY,Wyoming,6724
