id,stateAbbr,stateName,collectionsPerCapita,rank
0,US,United States,4319.69729343654,
1,AL,Alabama,2894.85215078014,50
2,AK,Alaska,10142.74229330710,1
4,AZ,Arizona,3363.14455714632,39
5,AR,Arkansas,3395.03170951586,38
6,CA,California,4937.94452378134,11
8,CO,Colorado,4287.72307185580,19
9,CT,Connecticut,6355.33207795868,5
10,DE,Delaware,4504.80071196226,16
12,FL,Florida,3441.19800584414,37
13,GA,Georgia,3188.65277616749,44
15,HI,Hawaii,4793.42314021681,13
16,ID,Idaho,2987.07698901389,48
17,IL,Illinois,4634.35518097497,14
18,IN,Indiana,3560.22004567203,33
19,IA,Iowa,4137.47604432670,22
20,KS,Kansas,4104.18027016927,23
21,KY,Kentucky,3341.13038102276,40
22,LA,Louisiana,3643.50993996967,31
23,ME,Maine,4558.52407770858,15
24,MD,Maryland,4994.52146923218,10
25,MA,Massachusetts,5442.73287805512,7
26,MI,Michigan,3655.09934434590,30
27,MN,Minnesota,5033.33822479113,8
28,MS,Mississippi,3117.47127851674,46
29,MO,Missouri,3272.25750174343,42
30,MT,Montana,3454.64548919182,36
31,NE,Nebraska,4248.74602729355,20
32,NV,Nevada,3766.49078706276,27
33,NH,New Hampshire,4031.87823809614,24
34,NJ,New Jersey,6026.69858836190,6
35,NM,New Mexico,3499.30842505058,35
36,NY,New York,7441.17242863898,2
37,NC,North Carolina,3509.66684228562,34
38,ND,North Dakota,6930.08550492494,3
39,OH,Ohio,3910.32517151627,26
40,OK,Oklahoma,3184.29220887250,45
41,OR,Oregon,3662.04814907426,29
42,PA,Pennsylvania,4381.87995437956,18
44,RI,Rhode Island,4830.56648355175,12
45,SC,South Carolina,2952.74075071894,49
46,SD,South Dakota,3292.02056816131,41
47,TN,Tennessee,2991.06538961436,47
48,TX,Texas,3568.71322921731,32
49,UT,Utah,3240.80194080266,43
50,VT,Vermont,5014.13004946875,9
51,VA,Virginia,3986.85562822232,25
53,WA,Washington,4188.08286607489,21
54,WV,West Virginia,3761.33636493789,28
55,WI,Wisconsin,4492.39602597813,17
56,WY,Wyoming,6491.53900733660,4
11,DC,District of Columbia,8772.48941796997,2
