id,stateAbbr,stateName,debtPerCapita,rank
0,US,United States,3677.79897,
1,AL,Alabama,1811.695592,44
2,AK,Alaska,8121.238857,4
4,AZ,Arizona,2178.538267,40
5,AR,Arkansas,1212.254062,48
6,CA,California,4036.212543,16
8,CO,Colorado,3169.587313,28
9,CT,Connecticut,8907.684535,2
10,DE,Delaware,6351.918581,7
12,FL,Florida,1988.08427,42
13,GA,Georgia,1358.224099,47
15,HI,Hawaii,6062.579184,9
16,ID,Idaho,2481.930962,35
17,IL,Illinois,4997.221489,11
18,IN,Indiana,3449.066612,24
19,IA,Iowa,2009.05693,41
20,KS,Kansas,2383.511883,38
21,KY,Kentucky,3453.325619,23
22,LA,Louisiana,3359.716864,27
23,ME,Maine,4218.331693,15
24,MD,Maryland,4391.237904,12
25,MA,Massachusetts,12042.46478,1
26,MI,Michigan,3119.779439,31
27,MN,Minnesota,2466.8437,36
28,MS,Mississippi,2413.213307,37
29,MO,Missouri,3388.842896,26
30,MT,Montana,3989.764371,18
31,NE,Nebraska,1121.42787,49
32,NV,Nevada,1422.430064,46
33,NH,New Hampshire,6086.619608,8
34,NJ,New Jersey,7328.123278,5
35,NM,New Mexico,3626.176573,20
36,NY,New York,6955.594685,6
37,NC,North Carolina,1885.432364,43
38,ND,North Dakota,3010.198155,32
39,OH,Ohio,3164.099109,29
40,OK,Oklahoma,2626.465673,33
41,OR,Oregon,3548.61294,22
42,PA,Pennsylvania,3622.872095,21
44,RI,Rhode Island,8769.216417,3
45,SC,South Carolina,3161.466589,30
46,SD,South Dakota,4354.532764,13
47,TN,Tennessee,959.496672,50
48,TX,Texas,1765.35218,45
49,UT,Utah,2492.982439,34
50,VT,Vermont,5414.262939,10
51,VA,Virginia,3413.054839,25
53,WA,Washington,4240.457792,14
54,WV,West Virginia,3938.611241,19
55,WI,Wisconsin,4021.550088,17
56,WY,Wyoming,2311.314882,39
