Table 3. Adjusted Gross Income of Taxpayers in Various Income Brackets, 1980�2014 (in Billions of Dollars),,,,,,,,,,,
Year,Total,Top 0.1%,Top 1%,Top 5%,Between 5% & 10%,Top 10%,Between 10% & 25%,Top 25%,Between 25% & 50%,Top 50%,Bottom 50%
1980,$1,627,,$138,$342,$181,$523,$400,$922,$417,$1,339,$288
1981,$1,791,,$149,$372,$201,$573,$442,$1,015,$458,$1,473,$318
1982,$1,876,,$167,$398,$207,$605,$460,$1,065,$478,$1,544,$332
1983,$1,970,,$183,$428,$217,$646,$481,$1,127,$498,$1,625,$344
1984,$2,173,,$210,$482,$240,$723,$528,$1,251,$543,$1,794,$379
1985,$2,344,,$235,$531,$260,$791,$567,$1,359,$580,$1,939,$405
1986,$2,524,,$285,$608,$278,$887,$604,$1,490,$613,$2,104,$421
The Tax Reform Act of 1986 changed the definition of AGI, so data above and below this line not strictly comparable,,,,,,,,,,,
1987,$2,814,,$347,$722,$316,$1,038,$671,$1,709,$664,$2,374,$440
1988,$3,124,,$474,$891,$342,$1,233,$718,$1,951,$707,$2,658,$466
1989,$3,299,,$468,$918,$368,$1,287,$768,$2,054,$751,$2,805,$494
1990,$3,451,,$483,$953,$385,$1,338,$806,$2,144,$788,$2,933,$519
1991,$3,516,,$457,$943,$400,$1,343,$832,$2,175,$809,$2,984,$532
1992,$3,681,,$524,$1,031,$413,$1,444,$856,$2,299,$832,$3,131,$549
1993,$3,776,,$521,$1,048,$426,$1,474,$883,$2,358,$854,$3,212,$563
1994,$3,961,,$547,$1,103,$449,$1,552,$929,$2,481,$890,$3,371,$590
1995,$4,245,,$620,$1,223,$482,$1,705,$985,$2,690,$938,$3,628,$617
1996,$4,591,,$737,$1,394,$515,$1,909,$1,043,$2,953,$992,$3,944,$646
1997,$5,023,,$873,$1,597,$554,$2,151,$1,116,$3,268,$1,060,$4,328,$695
1998,$5,469,,$1,010,$1,797,$597,$2,394,$1,196,$3,590,$1,132,$4,721,$748
1999,$5,909,,$1,153,$2,012,$641,$2,653,$1,274,$3,927,$1,199,$5,126,$783
2000,$6,424,,$1,337,$2,267,$688,$2,955,$1,358,$4,314,$1,276,$5,590,$834
The IRS changed methodology, so data above and below this line not strictly comparable,,,,,,,,,,,
2001,$6,116,$492,$1,065,$1,934,$666,$2,600,$1,334,$3,933,$1,302,$5,235,$881
2002,$5,982,$421,$960,$1,812,$660,$2,472,$1,339,$3,812,$1,303,$5,115,$867
2003,$6,157,$466,$1,030,$1,908,$679,$2,587,$1,375,$3,962,$1,325,$5,287,$870
2004,$6,735,$615,$1,279,$2,243,$725,$2,968,$1,455,$4,423,$1,403,$5,826,$908
2005,$7,366,$784,$1,561,$2,623,$778,$3,401,$1,540,$4,940,$1,473,$6,413,$953
2006,$7,970,$895,$1,761,$2,918,$841,$3,760,$1,652,$5,412,$1,568,$6,980,$990
2007,$8,622,$1,030,$1,971,$3,223,$905,$4,128,$1,770,$5,898,$1,673,$7,571,$1,051
2008,$8,206,$826,$1,657,$2,868,$905,$3,773,$1,782,$5,555,$1,673,$7,228,$978
2009,$7,579,$602,$1,305,$2,439,$878,$3,317,$1,740,$5,058,$1,620,$6,678,$900
2010,$8,040,$743,$1,517,$2,716,$915,$3,631,$1,800,$5,431,$1,665,$7,096,$944
2011,$8,317,$737,$1,556,$2,819,$956,$3,775,$1,866,$5,641,$1,716,$7,357,$961
2012,$9,042,$1,017,$1,977,$3,331,$997,$4,328,$1,934,$6,262,$1,776,$8,038,$1,004
2013,$9,034,$816,$1,720,$3,109,$1,034,$4,143,$2,008,$6,152,$1,844,$7,996,$1,038
2014,$9,709,$986,$1,998,$3,491,$1,093,$4,583,$2,107,$6,690,$1,924,$8,615,$1,094
Source: Internal Revenue Service.,,,,,,,,,,,
