year,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan,filingStatus
2019,0.1,0,13850,headOfHousehold
2019,0.12,13851,52850,headOfHousehold
2019,0.22,52851,84200,headOfHousehold
2019,0.24,84201,160700,headOfHousehold
2019,0.32,160701,204100,headOfHousehold
2019,0.35,204101,510300,headOfHousehold
2019,0.37,510301,,headOfHousehold
2019,0.1,0,19400,marriedFilingJointly
2019,0.12,19401,78950,marriedFilingJointly
2019,0.22,78951,168400,marriedFilingJointly
2019,0.24,168401,321450,marriedFilingJointly
2019,0.32,321451,408200,marriedFilingJointly
2019,0.35,408201,612350,marriedFilingJointly
2019,0.37,612351,,marriedFilingJointly
2019,0.1,0,9700,single
2019,0.12,9701,39475,single
2019,0.22,39476,84200,single
2019,0.24,84201,160725,single
2019,0.32,160726,204100,single
2019,0.35,204101,510300,single
2019,0.37,510301,,single 
2019,0.1,0,9700,marriedFilingSeparately
2019,0.12,9701,39475,marriedFilingSeparately
2019,0.22,39476,84200,marriedFilingSeparately
2019,0.24,84201,160725,marriedFilingSeparately
2019,0.32,160726,204100,marriedFilingSeparately
2019,0.35,204101,306175,marriedFilingSeparately
2019,0.37,306176,,marriedFilingSeparately
2018,0.1,0,13600,headOfHousehold
2018,0.12,13601,51800,headOfHousehold
2018,0.22,51801,82500,headOfHousehold
2018,0.24,82501,157500,headOfHousehold
2018,0.32,157501,200000,headOfHousehold
2018,0.35,200001,500000,headOfHousehold
2018,0.37,500001,,headOfHousehold
2018,0.1,0,19050,marriedFilingJointly
2018,0.12,19051,77400,marriedFilingJointly
2018,0.22,77401,165000,marriedFilingJointly
2018,0.24,165001,315000,marriedFilingJointly
2018,0.32,315001,400000,marriedFilingJointly
2018,0.35,400001,600000,marriedFilingJointly
2018,0.37,600001,,marriedFilingJointly
2018,0.1,0,9525,single
2018,0.12,9526,38700,single
2018,0.22,38701,82500,single
2018,0.24,82501,157500,single
2018,0.32,157501,200000,single
2018,0.35,200001,500000,single
2018,0.37,500001,,single 
2018,0.1,0,9525,marriedFilingSeparately
2018,0.12,9526,38700,marriedFilingSeparately
2018,0.22,38701,82500,marriedFilingSeparately
2018,0.24,82501,157500,marriedFilingSeparately
2018,0.32,157501,200000,marriedFilingSeparately
2018,0.35,200001,300000,marriedFilingSeparately
2018,0.37,300001,,marriedFilingSeparately
2017,0.1,0,13350,headOfHousehold
2017,0.15,13351,50800,headOfHousehold
2017,0.25,50801,131200,headOfHousehold
2017,0.28,131201,212500,headOfHousehold
2017,0.33,212501,416700,headOfHousehold
2017,0.35,416701,444550,headOfHousehold
2017,0.396,444551,,headOfHousehold
2017,0.1,0,18650,marriedFilingJointly
2017,0.15,18651,75900,marriedFilingJointly
2017,0.25,75901,153100,marriedFilingJointly
2017,0.28,153101,233350,marriedFilingJointly
2017,0.33,233351,416700,marriedFilingJointly
2017,0.35,416701,470700,marriedFilingJointly
2017,0.396,470701,,marriedFilingJointly
2017,0.1,0,9325,single
2017,0.15,9326,37950,single
2017,0.25,37951,91900,single
2017,0.28,91901,191650,single
2017,0.33,191651,416700,single
2017,0.35,416701,418400,single
2017,0.396,418401,,single
2017,0.1,0,9325,marriedFilingSeparately
2017,0.15,9326,37950,marriedFilingSeparately
2017,0.25,37951,76550,marriedFilingSeparately
2017,0.28,76551,116675,marriedFilingSeparately
2017,0.33,116676,208350,marriedFilingSeparately
2017,0.35,208351,235350,marriedFilingSeparately
2017,0.396,235351,,marriedFilingSeparately
2016,0.1,0,13250,headOfHousehold
2016,0.15,13251,50400,headOfHousehold
2016,0.25,50401,130150,headOfHousehold
2016,0.28,130151,210800,headOfHousehold
2016,0.33,210801,413350,headOfHousehold
2016,0.35,413351,441000,headOfHousehold
2016,0.396,441001,,headOfHousehold
2016,0.1,0,18550,marriedFilingJointly
2016,0.15,18551,75300,marriedFilingJointly
2016,0.25,75301,151900,marriedFilingJointly
2016,0.28,151901,231450,marriedFilingJointly
2016,0.33,231451,413350,marriedFilingJointly
2016,0.35,413351,466950,marriedFilingJointly
2016,0.396,466951,,marriedFilingJointly
2016,0.1,0,9275,single
2016,0.15,9276,37650,single
2016,0.25,37651,91150,single
2016,0.28,91151,190150,single
2016,0.33,190151,413350,single
2016,0.35,413351,415050,single
2016,0.396,415051,,single
2016,0.1,0,9275,marriedFilingSeparately
2016,0.15,9276,37650,marriedFilingSeparately
2016,0.25,37651,75950,marriedFilingSeparately
2016,0.28,75951,115725,marriedFilingSeparately
2016,0.33,115726,206675,marriedFilingSeparately
2016,0.35,206676,233475,marriedFilingSeparately
2016,0.396,233476,,marriedFilingSeparately
2015,0.1,0,13150,headOfHousehold
2015,0.15,13151,50200,headOfHousehold
2015,0.25,50201,129600,headOfHousehold
2015,0.28,129601,209850,headOfHousehold
2015,0.33,209851,411500,headOfHousehold
2015,0.35,411501,439000,headOfHousehold
2015,0.396,439001,,headOfHousehold
2015,0.1,0,18450,marriedFilingJointly
2015,0.15,18451,74900,marriedFilingJointly
2015,0.25,74901,151200,marriedFilingJointly
2015,0.28,151201,230450,marriedFilingJointly
2015,0.33,230451,411500,marriedFilingJointly
2015,0.35,411501,464850,marriedFilingJointly
2015,0.396,464851,,marriedFilingJointly
2015,0.1,0,9225,single
2015,0.15,9226,37450,single
2015,0.25,37451,90750,single
2015,0.28,90751,189300,single
2015,0.33,189301,411500,single
2015,0.35,411501,413200,single
2015,0.396,413201,,single
2015,0.1,0,9225,marriedFilingSeparately
2015,0.15,9226,37450,marriedFilingSeparately
2015,0.25,37451,75600,marriedFilingSeparately
2015,0.28,75601,115225,marriedFilingSeparately
2015,0.33,115226,205750,marriedFilingSeparately
2015,0.35,205751,232425,marriedFilingSeparately
2015,0.396,232426,,marriedFilingSeparately
2014,0.1,0,12950,headOfHousehold
2014,0.15,12950,49400,headOfHousehold
2014,0.25,49400,127550,headOfHousehold
2014,0.28,127550,206600,headOfHousehold
2014,0.33,206600,405100,headOfHousehold
2014,0.35,405100,432200,headOfHousehold
2014,0.396,432200,,headOfHousehold
2014,0.1,0,15150,marriedFilingJointly
2014,0.15,15150,73800,marriedFilingJointly
2014,0.25,73800,148850,marriedFilingJointly
2014,0.28,148850,226850,marriedFilingJointly
