year,targetState,sourceState,taxReturnInflows,taxExemptionsInflows,adjustedGrossIncomeInflows
2011,1,1,1591968,3593492,80792924000
2010,1,1,1604990,3609606,79341033000
2009,1,1,1632467,3629748,83764352000
2008,1,1,1612276,3579529,83887827000
2007,1,1,1532800,3443705,78152182000
2006,1,1,1507515,3400241,73090981000
2005,1,1,1501675,3401484,69502997000
2004,1,1,1497828,3396876,65594902000
2003,1,1,1499461,3389383,63437492000
2002,1,1,1506891,3390671,63342589000
2001,1,1,1505759,3392308,63339805000
2000,1,1,1497168,3378396,61416356000
1999,1,1,1478696,3342311,56633730000
1998,1,1,1460439,3322368,53439052000
1997,1,1,1447841,3315932,51607827000
1996,1,1,1424386,3271520,49296909000
1995,1,1,1404958,3249579,44866044000
1994,1,1,1390158,3261943,42611147000
1993,1,1,1374133,3232884,41638920000
2011,1,2,231,578,12028000
2010,1,2,209,528,9065000
2009,1,2,218,542,10688000
2008,1,2,186,476,10876000
2007,1,2,176,456,9207000
2006,1,2,170,404,6633000
2005,1,2,171,422,6919000
2004,1,2,155,368,6035000
2003,1,2,140,351,5490000
2002,1,2,154,388,5665000
2001,1,2,138,286,5626000
2000,1,2,165,433,6319000
1999,1,2,193,531,6957000
1998,1,2,163,410,5321000
1997,1,2,164,404,5169000
1996,1,2,165,407,5774000
1995,1,2,244,655,8003000
1994,1,2,229,637,7032000
1993,1,2,236,642,7453000
2011,1,4,534,1248,25581000
2010,1,4,465,1005,22913000
2009,1,4,496,1089,24243000
2008,1,4,528,1077,23123000
2007,1,4,483,1019,24570000
2006,1,4,505,1182,25176000
2005,1,4,397,838,17049000
2004,1,4,438,945,18598000
2003,1,4,388,807,15488000
2002,1,4,390,811,15313000
2001,1,4,362,719,15171000
2000,1,4,349,731,13171000
1999,1,4,374,790,12675000
1998,1,4,349,750,11858000
1997,1,4,383,841,11656000
1996,1,4,384,845,12166000
1995,1,4,360,792,10257000
1994,1,4,344,810,9834000
1993,1,4,355,770,9584000
2011,1,5,553,1096,23216000
2010,1,5,431,926,18390000
2009,1,5,458,970,20048000
2008,1,5,456,986,17315000
2007,1,5,502,1100,21951000
2006,1,5,522,1137,20284000
2005,1,5,415,862,18986000
2004,1,5,545,1249,20321000
2003,1,5,485,1095,19415000
2002,1,5,472,1019,19444000
2001,1,5,495,1099,18513000
2000,1,5,495,1114,19489000
1999,1,5,481,1055,17736000
1998,1,5,492,1088,16069000
1997,1,5,477,1075,14192000
1996,1,5,457,985,14845000
1995,1,5,497,1108,13473000
1994,1,5,439,990,12717000
1993,1,5,501,1140,13489000
2011,1,6,1541,3192,64665000
2010,1,6,1510,3107,65910000
2009,1,6,1748,3581,80865000
2008,1,6,1726,3556,83006000
2007,1,6,1840,3920,83322000
2006,1,6,1851,3957,83527000
2005,1,6,1818,3928,77778000
2004,1,6,1573,3339,63102000
2003,1,6,1555,3178,61414000
2002,1,6,1447,2966,60047000
2001,1,6,1482,3179,59942000
2000,1,6,1556,3349,63393000
1999,1,6,1525,3226,55529000
1998,1,6,1547,3347,52885000
1997,1,6,1601,3464,49223000
1996,1,6,1853,4053,54231000
1995,1,6,2035,4387,59200000
1994,1,6,2148,4864,62241000
1993,1,6,2353,5310,71035000
2011,1,8,524,1125,25535000
2010,1,8,563,1251,24828000
2009,1,8,524,1213,28200000
2008,1,8,532,1115,28407000
2007,1,8,537,1238,27405000
2006,1,8,508,1121,23060000
2005,1,8,561,1291,25030000
2004,1,8,582,1301,25513000
2003,1,8,562,1198,22047000
2002,1,8,582,1215,23673000
